rank,feature,gain_importance,cumulative_pct,cohens_d,abs_d,effect_size
2255,F3682_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2256,F3681_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2257,F3680_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2258,F3670_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2259,F3678_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2260,F3677_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2261,F3676_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2262,F3675_missing,0,100.0,0.8537303837157509,0.8537303837157509,large
2263,F3674_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2264,F3673_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2265,F3672_missing,0,100.0,0.8537303837157509,0.8537303837157509,large
2266,F3671_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2267,F3679_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2268,F3628_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2269,F3627_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2270,F3626_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2271,F3625_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2272,F3624_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2273,F3623_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2274,F3622_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2275,F3647_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2276,F3620_missing,0,100.0,0.11107985197565057,0.11107985197565057,negligible
2277,F3619_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2278,F3618_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2279,F3617_missing,0,100.0,0.11107985197565057,0.11107985197565057,negligible
2280,F3616_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2281,F3615_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2282,F3613_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2283,F3612_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2284,F3621_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2285,F3646_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2286,F3645_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2287,F3644_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2288,F3643_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2289,F3642_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2290,F3641_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2291,F3640_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2292,F3639_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2293,F3629_missing,0,100.0,-0.10510715301340665,0.10510715301340665,negligible
2294,F3637_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2295,F3636_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2296,F3635_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2297,F3634_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2298,F3633_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2299,F3632_missing,0,100.0,-0.10510715301340665,0.10510715301340665,negligible
2300,F3631_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2301,F3630_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2302,F3638_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2303,F2259_missing,0,100.0,-0.2309101765506342,0.2309101765506342,small
2304,F2258_missing,0,100.0,-0.23608227481794014,0.23608227481794014,small
2305,F2257_missing,0,100.0,-0.3061199156821569,0.3061199156821569,small
2306,F2256_missing,0,100.0,-0.2309101765506342,0.2309101765506342,small
2307,F2255_missing,0,100.0,-0.23608227481794014,0.23608227481794014,small
2308,F2254_missing,0,100.0,-0.3061199156821569,0.3061199156821569,small
2309,F2253_missing,0,100.0,-0.2309101765506342,0.2309101765506342,small
2310,F3226_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2311,F2251_missing,0,100.0,-0.3061199156821569,0.3061199156821569,small
2312,F2250_missing,0,100.0,-0.2309101765506342,0.2309101765506342,small
2313,F2249_missing,0,100.0,-0.23608227481794014,0.23608227481794014,small
2314,F2248_missing,0,100.0,-0.2215139373545623,0.2215139373545623,small
2315,F2247_missing,0,100.0,-0.09266377172196824,0.09266377172196824,negligible
2316,F2246_missing,0,100.0,-0.11488955413146502,0.11488955413146502,negligible
2317,F2245_missing,0,100.0,-0.2215139373545623,0.2215139373545623,small
2318,F2244_missing,0,100.0,-0.09266377172196824,0.09266377172196824,negligible
2319,F2252_missing,0,100.0,-0.23608227481794014,0.23608227481794014,small
2320,F2341_missing,0,100.0,-0.2097836714723134,0.2097836714723134,small
2321,F2340_missing,0,100.0,-0.062363835761417616,0.062363835761417616,negligible
2322,F2339_missing,0,100.0,-0.09207284152410838,0.09207284152410838,negligible
2323,F2298_missing,0,100.0,0.23563378492480513,0.23563378492480513,small
2324,F2297_missing,0,100.0,0.33184618378420344,0.33184618378420344,small
2325,F2295_missing,0,100.0,0.23563378492480513,0.23563378492480513,small
2326,F2294_missing,0,100.0,0.33184618378420344,0.33184618378420344,small
2327,F2260_missing,0,100.0,-0.3061199156821569,0.3061199156821569,small
2328,F2292_missing,0,100.0,-0.4629950185932386,0.4629950185932386,small
2329,F2291_missing,0,100.0,-0.5848590162101497,0.5848590162101497,medium
2330,F2290_missing,0,100.0,-0.7078386874493193,0.7078386874493193,medium
2331,F2288_missing,0,100.0,-0.5848590162101497,0.5848590162101497,medium
2332,F2287_missing,0,100.0,0.28013298346210785,0.28013298346210785,small
2333,F2286_missing,0,100.0,0.21315242448360752,0.21315242448360752,small
2334,F2285_missing,0,100.0,0.21257793475632036,0.21257793475632036,small
2335,F2284_missing,0,100.0,0.28013298346210785,0.28013298346210785,small
2336,F2293_missing,0,100.0,-0.7078386874493193,0.7078386874493193,medium
2337,F2211_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2338,F2210_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2339,F2209_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2340,F2208_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2341,F2207_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2342,F2206_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2343,F2205_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2344,F2243_missing,0,100.0,-0.11488955413146502,0.11488955413146502,negligible
2345,F2203_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2346,F2202_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2347,F2201_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2348,F2200_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2349,F2199_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2350,F2198_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2351,F2197_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2352,F2196_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2353,F2204_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2354,F2229_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2355,F2228_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2356,F2227_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2357,F2226_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2358,F2225_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2359,F2224_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2360,F2223_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2361,F2222_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2362,F2212_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2363,F2220_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2364,F2219_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2365,F2218_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2366,F2217_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2367,F2216_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2368,F2215_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2369,F2214_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2370,F2213_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2371,F2221_missing,0,100.0,-0.020506127764292652,0.020506127764292652,negligible
2372,F2480_missing,0,100.0,0.28013298346210785,0.28013298346210785,small
2373,F2479_missing,0,100.0,0.21315242448360752,0.21315242448360752,small
2374,F2478_missing,0,100.0,0.21257793475632036,0.21257793475632036,small
2375,F2453_missing,0,100.0,-0.3061199156821569,0.3061199156821569,small
2376,F2452_missing,0,100.0,-0.2309101765506342,0.2309101765506342,small
2377,F2451_missing,0,100.0,-0.23608227481794014,0.23608227481794014,small
2378,F2450_missing,0,100.0,-0.3061199156821569,0.3061199156821569,small
2379,F2342_missing,0,100.0,-0.09207284152410838,0.09207284152410838,negligible
2380,F2448_missing,0,100.0,-0.23608227481794014,0.23608227481794014,small
2381,F2447_missing,0,100.0,-0.3061199156821569,0.3061199156821569,small
